X,Y,Z,Primary,Secondary
38.50000,0.50000,0.50000,-0.98740,-0.13995
39.50000,0.50000,0.50000,-1.19411,-0.14025
40.50000,0.50000,0.50000,-1.70344,-0.30211
41.50000,0.50000,0.50000,-1.83457,-0.58388
42.50000,0.50000,0.50000,-1.47300,-0.34092
43.50000,0.50000,0.50000,-1.63312,-0.31234
44.50000,0.50000,0.50000,-1.35320,-0.34332
45.50000,0.50000,0.50000,-1.07134,-0.28451
46.50000,0.50000,0.50000,-0.56212,0.13479
47.50000,0.50000,0.50000,-0.69170,0.02714
48.50000,0.50000,0.50000,-0.38354,0.18184
49.50000,0.50000,0.50000,-0.20346,0.43984
50.50000,0.50000,0.50000,-0.36075,0.28513
51.50000,0.50000,0.50000,-0.32567,0.26141
52.50000,0.50000,0.50000,-0.14627,0.49226
53.50000,0.50000,0.50000,-0.77425,-0.19873
54.50000,0.50000,0.50000,-0.09788,0.06603
55.50000,0.50000,0.50000,0.31830,0.35474
56.50000,0.50000,0.50000,0.85466,0.92545
57.50000,0.50000,0.50000,0.96185,1.08012
58.50000,0.50000,0.50000,0.78818,0.99388
59.50000,0.50000,0.50000,1.19293,1.33336
60.50000,0.50000,0.50000,1.22365,1.29950
61.50000,0.50000,0.50000,1.04504,1.40543
62.50000,0.50000,0.50000,1.63908,1.70344
63.50000,0.50000,0.50000,1.40809,1.46217
64.50000,0.50000,0.50000,1.55783,1.69569
65.50000,0.50000,0.50000,1.45905,1.59245
66.50000,0.50000,0.50000,1.28867,1.59762
67.50000,0.50000,0.50000,1.23153,1.52934
68.50000,0.50000,0.50000,1.53882,1.61935
69.50000,0.50000,0.50000,1.33666,1.47806
70.50000,0.50000,0.50000,1.73343,1.90008
71.50000,0.50000,0.50000,1.60494,1.85599
72.50000,0.50000,0.50000,1.54294,1.79415
73.50000,0.50000,0.50000,1.16187,1.63311
74.50000,0.50000,0.50000,0.92248,1.34137
75.50000,0.50000,0.50000,0.84415,1.13749
76.50000,0.50000,0.50000,0.80089,1.15910
77.50000,0.50000,0.50000,0.42292,1.09748
78.50000,0.50000,0.50000,0.24772,0.89351
79.50000,0.50000,0.50000,0.29219,1.23817
80.50000,0.50000,0.50000,0.52107,1.41529
81.50000,0.50000,0.50000,0.66761,1.40406
82.50000,0.50000,0.50000,0.58058,1.25505
83.50000,0.50000,0.50000,0.43836,1.41097
84.50000,0.50000,0.50000,0.61003,1.48519
85.50000,0.50000,0.50000,0.43823,1.46117
86.50000,0.50000,0.50000,0.65869,1.78317
87.50000,0.50000,0.50000,0.64005,1.85945
88.50000,0.50000,0.50000,0.98934,2.21459
89.50000,0.50000,0.50000,1.52189,2.47063
90.50000,0.50000,0.50000,1.64430,2.51315
91.50000,0.50000,0.50000,1.98230,2.78167
92.50000,0.50000,0.50000,1.81164,2.47019
93.50000,0.50000,0.50000,1.29047,2.17934
94.50000,0.50000,0.50000,1.34627,2.14156
95.50000,0.50000,0.50000,0.74896,1.92245
96.50000,0.50000,0.50000,0.94210,1.79819
97.50000,0.50000,0.50000,1.00282,1.96355
98.50000,0.50000,0.50000,0.55984,1.65870
99.50000,0.50000,0.50000,0.07068,1.33888
0.50000,1.50000,0.50000,0.63825,1.01336
1.50000,1.50000,0.50000,0.37270,0.87585
2.50000,1.50000,0.50000,-0.09006,0.83430
3.50000,1.50000,0.50000,-0.00072,0.75433
4.50000,1.50000,0.50000,0.23834,1.18291
5.50000,1.50000,0.50000,-0.08862,1.20374
6.50000,1.50000,0.50000,0.01101,1.04079
7.50000,1.50000,0.50000,0.22424,0.99793
8.50000,1.50000,0.50000,0.55267,1.27097
9.50000,1.50000,0.50000,1.03308,1.32557
10.50000,1.50000,0.50000,1.19743,1.25674
11.50000,1.50000,0.50000,1.29759,1.22696
12.50000,1.50000,0.50000,1.03798,0.95642
13.50000,1.50000,0.50000,0.78330,0.70365
14.50000,1.50000,0.50000,0.64144,0.68246
15.50000,1.50000,0.50000,0.84298,0.82801
16.50000,1.50000,0.50000,0.19063,0.49735
17.50000,1.50000,0.50000,-0.13803,0.28547
18.50000,1.50000,0.50000,-0.06664,0.19335
19.50000,1.50000,0.50000,0.17666,0.29155
20.50000,1.50000,0.50000,-0.31082,0.04967
21.50000,1.50000,0.50000,-0.36654,0.15510
22.50000,1.50000,0.50000,-0.68336,0.13785
23.50000,1.50000,0.50000,-1.06596,-0.15652
24.50000,1.50000,0.50000,-1.13530,-0.26530
25.50000,1.50000,0.50000,-1.05096,-0.06279
26.50000,1.50000,0.50000,-1.03608,0.05140
27.50000,1.50000,0.50000,-1.41221,-0.12180
28.50000,1.50000,0.50000,-1.40657,-0.02998
29.50000,1.50000,0.50000,-1.57009,-0.35622
30.50000,1.50000,0.50000,-1.34484,-0.20551
31.50000,1.50000,0.50000,-1.45083,-0.19558
32.50000,1.50000,0.50000,-1.30087,-0.03286
33.50000,1.50000,0.50000,-1.04026,-0.01239
34.50000,1.50000,0.50000,-1.36265,-0.25000
35.50000,1.50000,0.50000,-1.17774,-0.35785
36.50000,1.50000,0.50000,-1.02330,-0.37853
37.50000,1.50000,0.50000,-1.13135,-0.24911
38.50000,1.50000,0.50000,-1.18745,0.12125
39.50000,1.50000,0.50000,-1.35558,0.01308
40.50000,1.50000,0.50000,-1.01649,0.26616
41.50000,1.50000,0.50000,-1.31524,0.00180
42.50000,1.50000,0.50000,-1.67126,-0.38637
43.50000,1.50000,0.50000,-1.64195,-0.31866
44.50000,1.50000,0.50000,-1.23701,-0.03043
45.50000,1.50000,0.50000,-1.34493,-0.25475
46.50000,1.50000,0.50000,-0.89020,-0.19303
47.50000,1.50000,0.50000,-0.87217,0.01034
48.50000,1.50000,0.50000,-0.39178,0.49874
49.50000,1.50000,0.50000,-0.64556,0.21315
50.50000,1.50000,0.50000,-0.50845,0.32544
51.50000,1.50000,0.50000,-0.28651,0.42475
52.50000,1.50000,0.50000,-0.49168,0.19945
53.50000,1.50000,0.50000,-0.09512,0.34127
54.50000,1.50000,0.50000,-0.12584,0.38356
55.50000,1.50000,0.50000,0.25330,0.43781
56.50000,1.50000,0.50000,0.65512,0.75496
57.50000,1.50000,0.50000,0.62526,0.74154
58.50000,1.50000,0.50000,0.17823,0.71448
59.50000,1.50000,0.50000,0.26506,0.79744
60.50000,1.50000,0.50000,0.61070,1.11288
61.50000,1.50000,0.50000,1.11415,1.37731
62.50000,1.50000,0.50000,1.18342,1.67968
63.50000,1.50000,0.50000,1.34415,1.57018
64.50000,1.50000,0.50000,1.29045,1.82405
65.50000,1.50000,0.50000,1.37472,1.74653
66.50000,1.50000,0.50000,1.55960,1.82095
67.50000,1.50000,0.50000,1.57368,1.60079
68.50000,1.50000,0.50000,1.46789,1.54923
69.50000,1.50000,0.50000,1.67460,1.50059
70.50000,1.50000,0.50000,1.56707,1.34365
71.50000,1.50000,0.50000,1.82932,1.59917
72.50000,1.50000,0.50000,1.62649,1.77024
73.50000,1.50000,0.50000,1.55892,1.66614
74.50000,1.50000,0.50000,1.12508,1.46296
75.50000,1.50000,0.50000,1.33116,1.49520
76.50000,1.50000,0.50000,1.60745,1.73002
77.50000,1.50000,0.50000,0.92086,1.17320
78.50000,1.50000,0.50000,0.69585,1.10573
79.50000,1.50000,0.50000,0.55408,1.05177
80.50000,1.50000,0.50000,0.58762,1.25061
81.50000,1.50000,0.50000,0.86091,1.40062
82.50000,1.50000,0.50000,0.51738,1.06010
83.50000,1.50000,0.50000,0.73439,1.39798
84.50000,1.50000,0.50000,0.50582,1.37609
85.50000,1.50000,0.50000,0.43862,1.43440
86.50000,1.50000,0.50000,0.91393,1.80377
87.50000,1.50000,0.50000,1.01081,1.86027
88.50000,1.50000,0.50000,1.39321,1.90934
89.50000,1.50000,0.50000,1.48980,1.94585
90.50000,1.50000,0.50000,1.82587,2.16151
91.50000,1.50000,0.50000,1.89178,2.29906
92.50000,1.50000,0.50000,1.55387,2.21738
93.50000,1.50000,0.50000,1.43787,2.06387
94.50000,1.50000,0.50000,1.12985,1.93811
95.50000,1.50000,0.50000,0.90394,1.79736
96.50000,1.50000,0.50000,1.39210,1.95673
97.50000,1.50000,0.50000,1.08160,1.58740
98.50000,1.50000,0.50000,0.70033,1.48337
99.50000,1.50000,0.50000,0.16675,1.18729
0.50000,2.50000,0.50000,1.24692,1.50824
1.50000,2.50000,0.50000,1.10177,1.25412
2.50000,2.50000,0.50000,-0.12604,0.72846
3.50000,2.50000,0.50000,-0.24220,0.61029
4.50000,2.50000,0.50000,0.07628,0.84130
5.50000,2.50000,0.50000,-0.05295,0.99329
6.50000,2.50000,0.50000,-0.07787,1.05564
7.50000,2.50000,0.50000,0.14131,1.15282
8.50000,2.50000,0.50000,0.40454,1.09854
9.50000,2.50000,0.50000,0.49328,0.95831
10.50000,2.50000,0.50000,1.20584,1.40618
11.50000,2.50000,0.50000,1.08530,1.26602
12.50000,2.50000,0.50000,0.51897,0.90196
13.50000,2.50000,0.50000,0.58856,0.79829
14.50000,2.50000,0.50000,0.31315,0.81676
15.50000,2.50000,0.50000,0.40314,0.54352
16.50000,2.50000,0.50000,0.13720,0.17593
17.50000,2.50000,0.50000,-0.06485,0.04935
18.50000,2.50000,0.50000,-0.63508,-0.14780
19.50000,2.50000,0.50000,-0.60037,-0.43756
20.50000,2.50000,0.50000,-0.36268,-0.17294
21.50000,2.50000,0.50000,-0.65951,-0.28409
22.50000,2.50000,0.50000,-0.97932,-0.51311
23.50000,2.50000,0.50000,-0.75009,-0.05385
24.50000,2.50000,0.50000,-0.26705,0.09546
25.50000,2.50000,0.50000,-0.58957,-0.16881
26.50000,2.50000,0.50000,-0.59927,-0.06198
27.50000,2.50000,0.50000,-0.83494,0.06373
28.50000,2.50000,0.50000,-0.97583,-0.07444
29.50000,2.50000,0.50000,-1.24759,-0.18544
30.50000,2.50000,0.50000,-1.01242,0.03387
31.50000,2.50000,0.50000,-1.43890,-0.04822
32.50000,2.50000,0.50000,-0.89436,-0.05604
33.50000,2.50000,0.50000,-0.86587,0.18983
34.50000,2.50000,0.50000,-0.84659,0.02508
35.50000,2.50000,0.50000,-1.07608,0.01188
36.50000,2.50000,0.50000,-1.04596,-0.00997
37.50000,2.50000,0.50000,-0.72715,0.21908
38.50000,2.50000,0.50000,-1.20187,0.06047
39.50000,2.50000,0.50000,-0.91633,0.32267
40.50000,2.50000,0.50000,-1.50924,0.13645
41.50000,2.50000,0.50000,-1.68382,-0.22209
42.50000,2.50000,0.50000,-1.69991,-0.39747
43.50000,2.50000,0.50000,-1.67773,-0.20942
44.50000,2.50000,0.50000,-1.96725,-0.21864
45.50000,2.50000,0.50000,-1.65391,-0.29235
46.50000,2.50000,0.50000,-1.62694,-0.21991
47.50000,2.50000,0.50000,-0.94409,0.11573
48.50000,2.50000,0.50000,-0.85637,0.11258
49.50000,2.50000,0.50000,-1.08169,-0.35267
50.50000,2.50000,0.50000,-0.72520,0.06790
51.50000,2.50000,0.50000,-0.39080,0.25462
52.50000,2.50000,0.50000,0.14741,0.68184
53.50000,2.50000,0.50000,-0.02067,0.39608
54.50000,2.50000,0.50000,0.26751,0.65022
55.50000,2.50000,0.50000,0.13481,0.42658
56.50000,2.50000,0.50000,0.10768,0.49625
57.50000,2.50000,0.50000,0.20008,0.75118
58.50000,2.50000,0.50000,-0.06028,0.58040
59.50000,2.50000,0.50000,0.33623,0.93147
60.50000,2.50000,0.50000,0.61677,1.06128
61.50000,2.50000,0.50000,0.56843,1.15263
62.50000,2.50000,0.50000,0.85063,1.18994
63.50000,2.50000,0.50000,0.95037,1.29785
64.50000,2.50000,0.50000,0.69960,1.30677
65.50000,2.50000,0.50000,0.95258,1.34500
66.50000,2.50000,0.50000,1.54291,1.58536
67.50000,2.50000,0.50000,1.83768,1.59642
68.50000,2.50000,0.50000,1.66156,1.44194
69.50000,2.50000,0.50000,1.45837,1.57671
70.50000,2.50000,0.50000,1.15028,1.32939
71.50000,2.50000,0.50000,1.41937,1.28302
72.50000,2.50000,0.50000,1.94390,1.50816
73.50000,2.50000,0.50000,1.71963,1.64757
74.50000,2.50000,0.50000,1.42034,1.38988
75.50000,2.50000,0.50000,1.18220,1.40344
76.50000,2.50000,0.50000,0.97077,1.35857
77.50000,2.50000,0.50000,0.88018,1.32886
78.50000,2.50000,0.50000,1.17520,1.44888
79.50000,2.50000,0.50000,1.06101,1.57000
80.50000,2.50000,0.50000,1.28888,1.72035
81.50000,2.50000,0.50000,0.76974,1.64099
82.50000,2.50000,0.50000,0.72390,1.42665
83.50000,2.50000,0.50000,1.04603,1.66644
84.50000,2.50000,0.50000,0.95771,1.52981
85.50000,2.50000,0.50000,1.03936,1.75514
86.50000,2.50000,0.50000,1.68941,2.09697
87.50000,2.50000,0.50000,1.41618,1.79584
88.50000,2.50000,0.50000,1.42025,1.77067
89.50000,2.50000,0.50000,1.50558,1.66405
90.50000,2.50000,0.50000,1.65964,1.64850
91.50000,2.50000,0.50000,1.30468,1.58464
92.50000,2.50000,0.50000,1.15790,1.62986
93.50000,2.50000,0.50000,1.03997,1.60374
94.50000,2.50000,0.50000,0.99209,1.69358
95.50000,2.50000,0.50000,1.24171,1.86956
96.50000,2.50000,0.50000,0.47006,1.56295
97.50000,2.50000,0.50000,0.50624,1.58975
98.50000,2.50000,0.50000,0.51120,1.87193
99.50000,2.50000,0.50000,0.09901,1.61617
0.50000,3.50000,0.50000,1.32823,1.76458
1.50000,3.50000,0.50000,1.24159,1.86902
2.50000,3.50000,0.50000,1.00533,1.68251
3.50000,3.50000,0.50000,0.86066,1.38030
4.50000,3.50000,0.50000,0.40864,1.34365
5.50000,3.50000,0.50000,0.25151,1.12584
6.50000,3.50000,0.50000,0.58991,1.24000
7.50000,3.50000,0.50000,0.45976,1.30488
8.50000,3.50000,0.50000,0.92421,1.17369
9.50000,3.50000,0.50000,0.54675,0.85831
10.50000,3.50000,0.50000,0.65660,0.82395
11.50000,3.50000,0.50000,0.75885,0.85738
12.50000,3.50000,0.50000,0.48160,0.62708
13.50000,3.50000,0.50000,0.03039,0.48683
14.50000,3.50000,0.50000,-0.00748,0.32869
15.50000,3.50000,0.50000,-0.23314,0.15270
16.50000,3.50000,0.50000,-0.23870,0.17418
17.50000,3.50000,0.50000,-0.61918,-0.04243
18.50000,3.50000,0.50000,-0.59745,-0.07142
19.50000,3.50000,0.50000,-0.71367,-0.13492
20.50000,3.50000,0.50000,-0.93804,-0.43377
21.50000,3.50000,0.50000,-0.48906,-0.16244
22.50000,3.50000,0.50000,-0.56717,-0.32051
23.50000,3.50000,0.50000,0.10677,-0.09672
24.50000,3.50000,0.50000,-0.10763,0.12228
25.50000,3.50000,0.50000,-0.28761,0.28472
26.50000,3.50000,0.50000,-0.63894,0.08170
27.50000,3.50000,0.50000,-0.36108,0.09664
28.50000,3.50000,0.50000,-0.58890,-0.19559
29.50000,3.50000,0.50000,-0.92767,-0.08860
30.50000,3.50000,0.50000,-0.81881,-0.13783
31.50000,3.50000,0.50000,-0.89574,-0.12304
32.50000,3.50000,0.50000,-1.11322,0.01602
33.50000,3.50000,0.50000,-1.16904,0.06444
34.50000,3.50000,0.50000,-0.75006,0.31828
35.50000,3.50000,0.50000,-0.85815,0.24470
36.50000,3.50000,0.50000,-0.86513,0.18859
37.50000,3.50000,0.50000,-0.93145,0.21670
38.50000,3.50000,0.50000,-0.93866,0.36396
39.50000,3.50000,0.50000,-0.66263,0.72562
40.50000,3.50000,0.50000,-0.98738,0.45388
41.50000,3.50000,0.50000,-1.13777,0.28140
42.50000,3.50000,0.50000,-1.27316,0.11998
43.50000,3.50000,0.50000,-1.43386,-0.03144
44.50000,3.50000,0.50000,-1.70183,-0.12172
45.50000,3.50000,0.50000,-1.34311,-0.01544
46.50000,3.50000,0.50000,-1.45588,0.26920
47.50000,3.50000,0.50000,-1.54520,0.05370
48.50000,3.50000,0.50000,-1.32092,0.02190
49.50000,3.50000,0.50000,-1.29802,-0.09853
50.50000,3.50000,0.50000,-0.97832,0.31356
51.50000,3.50000,0.50000,-0.54419,0.47002
52.50000,3.50000,0.50000,-0.53769,0.35779
53.50000,3.50000,0.50000,-0.61762,0.17337
54.50000,3.50000,0.50000,-0.40589,0.38693
55.50000,3.50000,0.50000,-0.29600,0.39200
56.50000,3.50000,0.50000,-0.07808,0.66276
57.50000,3.50000,0.50000,-0.06061,0.54106
58.50000,3.50000,0.50000,-0.02055,0.66055
59.50000,3.50000,0.50000,-0.18335,0.41022
60.50000,3.50000,0.50000,0.10772,0.36480
61.50000,3.50000,0.50000,0.63064,0.85263
62.50000,3.50000,0.50000,0.37666,0.82456
63.50000,3.50000,0.50000,0.67842,1.27128
64.50000,3.50000,0.50000,0.80569,1.33090
65.50000,3.50000,0.50000,1.44357,1.39567
66.50000,3.50000,0.50000,1.96037,1.85789
67.50000,3.50000,0.50000,1.71473,1.69652
68.50000,3.50000,0.50000,1.38921,1.64865
69.50000,3.50000,0.50000,1.13983,1.25564
70.50000,3.50000,0.50000,1.61577,1.37545
71.50000,3.50000,0.50000,1.90274,1.57589
72.50000,3.50000,0.50000,2.29376,1.68811
73.50000,3.50000,0.50000,1.99568,1.65815
74.50000,3.50000,0.50000,1.61088,1.41461
75.50000,3.50000,0.50000,1.08238,1.37264
76.50000,3.50000,0.50000,1.16137,1.54482
77.50000,3.50000,0.50000,1.17860,1.46005
78.50000,3.50000,0.50000,1.21136,1.50852
79.50000,3.50000,0.50000,0.93663,1.39056
80.50000,3.50000,0.50000,1.42682,1.64935
81.50000,3.50000,0.50000,1.89543,1.89392
82.50000,3.50000,0.50000,1.83298,1.71578
83.50000,3.50000,0.50000,1.75006,1.81583
84.50000,3.50000,0.50000,1.69986,1.85779
85.50000,3.50000,0.50000,1.81462,2.09463
86.50000,3.50000,0.50000,2.35446,2.29701
87.50000,3.50000,0.50000,2.14448,2.01480
88.50000,3.50000,0.50000,1.93945,1.86710
89.50000,3.50000,0.50000,1.74892,1.93079
90.50000,3.50000,0.50000,1.81716,1.67460
91.50000,3.50000,0.50000,1.28329,1.32501
92.50000,3.50000,0.50000,1.10914,1.52380
93.50000,3.50000,0.50000,1.44074,1.63141
94.50000,3.50000,0.50000,1.12627,1.59786
95.50000,3.50000,0.50000,1.15486,1.70222
96.50000,3.50000,0.50000,1.02989,1.75576
97.50000,3.50000,0.50000,1.01415,1.65343
98.50000,3.50000,0.50000,0.77996,1.80276
99.50000,3.50000,0.50000,0.10188,1.43675
0.50000,4.50000,0.50000,1.23568,1.95102
1.50000,4.50000,0.50000,1.62040,1.94573
2.50000,4.50000,0.50000,1.14648,1.51134
3.50000,4.50000,0.50000,0.82047,1.23127
4.50000,4.50000,0.50000,0.74675,1.22244
5.50000,4.50000,0.50000,1.10797,1.47495
6.50000,4.50000,0.50000,0.86768,1.42598
7.50000,4.50000,0.50000,0.86742,1.34580
8.50000,4.50000,0.50000,0.80529,0.98821
9.50000,4.50000,0.50000,0.92538,1.02717
10.50000,4.50000,0.50000,0.76759,0.66922
11.50000,4.50000,0.50000,0.38693,0.60802
12.50000,4.50000,0.50000,0.65170,0.38853
13.50000,4.50000,0.50000,0.23072,0.37764
14.50000,4.50000,0.50000,0.15682,0.33716
15.50000,4.50000,0.50000,-0.06567,0.23699
16.50000,4.50000,0.50000,-0.71594,-0.39917
17.50000,4.50000,0.50000,-0.53457,-0.29201
18.50000,4.50000,0.50000,-0.25860,-0.01986
19.50000,4.50000,0.50000,-0.39250,-0.14582
20.50000,4.50000,0.50000,-0.53772,-0.45282
21.50000,4.50000,0.50000,-0.53876,-0.49785
22.50000,4.50000,0.50000,-0.64409,-0.63421
23.50000,4.50000,0.50000,-0.30194,-0.43423
24.50000,4.50000,0.50000,-0.21308,-0.20652
25.50000,4.50000,0.50000,-0.30572,-0.09013
26.50000,4.50000,0.50000,0.09685,0.31459
27.50000,4.50000,0.50000,-0.10137,0.42686
28.50000,4.50000,0.50000,-0.36509,0.11897
29.50000,4.50000,0.50000,-0.23627,0.35600
30.50000,4.50000,0.50000,-0.74298,0.13970
31.50000,4.50000,0.50000,-0.41754,0.21720
32.50000,4.50000,0.50000,-0.72360,0.25545
33.50000,4.50000,0.50000,-0.58198,0.31327
34.50000,4.50000,0.50000,-0.67921,0.34156
35.50000,4.50000,0.50000,-0.77058,0.44616
36.50000,4.50000,0.50000,-1.03147,0.29593
37.50000,4.50000,0.50000,-1.01225,0.26086
38.50000,4.50000,0.50000,-0.67619,0.36535
39.50000,4.50000,0.50000,-0.56014,0.28463
40.50000,4.50000,0.50000,-0.52393,0.59002
41.50000,4.50000,0.50000,-0.75765,0.69604
42.50000,4.50000,0.50000,-0.89584,0.80185
43.50000,4.50000,0.50000,-1.00893,0.59235
44.50000,4.50000,0.50000,-1.53901,0.42258
45.50000,4.50000,0.50000,-1.47353,0.29342
46.50000,4.50000,0.50000,-2.02555,-0.03987
47.50000,4.50000,0.50000,-1.98364,0.07518
48.50000,4.50000,0.50000,-1.74937,0.04531
49.50000,4.50000,0.50000,-1.43930,-0.12127
50.50000,4.50000,0.50000,-1.50885,-0.22495
51.50000,4.50000,0.50000,-1.00882,0.15223
52.50000,4.50000,0.50000,-0.89435,0.08755
53.50000,4.50000,0.50000,-1.04495,-0.11969
54.50000,4.50000,0.50000,-0.78641,0.17458
55.50000,4.50000,0.50000,-0.71116,0.25437
56.50000,4.50000,0.50000,-0.69467,0.22897
57.50000,4.50000,0.50000,-0.75471,0.21545
58.50000,4.50000,0.50000,-0.28062,0.50913
59.50000,4.50000,0.50000,-0.36622,0.58576
60.50000,4.50000,0.50000,-0.47706,0.18775
61.50000,4.50000,0.50000,-0.10297,0.31416
62.50000,4.50000,0.50000,0.05624,0.33516
63.50000,4.50000,0.50000,0.33334,0.58960
64.50000,4.50000,0.50000,0.52413,0.45928
65.50000,4.50000,0.50000,0.87358,1.16637
66.50000,4.50000,0.50000,1.41370,1.50005
67.50000,4.50000,0.50000,1.81609,1.88988
68.50000,4.50000,0.50000,1.41539,1.49690
69.50000,4.50000,0.50000,1.18345,1.27290
70.50000,4.50000,0.50000,1.29506,1.14918
71.50000,4.50000,0.50000,1.89912,1.65409
72.50000,4.50000,0.50000,2.13295,1.76450
73.50000,4.50000,0.50000,2.20933,1.71232
74.50000,4.50000,0.50000,1.61628,1.57922
75.50000,4.50000,0.50000,1.36505,1.53889
76.50000,4.50000,0.50000,1.42814,1.55975
77.50000,4.50000,0.50000,1.36104,1.36705
78.50000,4.50000,0.50000,1.41058,1.32400
79.50000,4.50000,0.50000,1.23703,1.23292
80.50000,4.50000,0.50000,1.56665,1.98477
81.50000,4.50000,0.50000,1.89761,1.88719
82.50000,4.50000,0.50000,2.23996,1.98360
83.50000,4.50000,0.50000,2.55786,2.01616
84.50000,4.50000,0.50000,2.85203,2.16058
85.50000,4.50000,0.50000,2.75647,2.22325
86.50000,4.50000,0.50000,2.74063,2.48870
87.50000,4.50000,0.50000,2.42921,2.53624
88.50000,4.50000,0.50000,2.34173,2.40991
89.50000,4.50000,0.50000,2.32586,2.23990
90.50000,4.50000,0.50000,1.88366,1.98700
91.50000,4.50000,0.50000,1.76768,1.77096
92.50000,4.50000,0.50000,1.88409,1.70087
93.50000,4.50000,0.50000,1.95309,1.79684
94.50000,4.50000,0.50000,1.62737,1.69350
95.50000,4.50000,0.50000,1.37731,1.69957
96.50000,4.50000,0.50000,0.38133,1.25025
97.50000,4.50000,0.50000,0.33358,1.27613
98.50000,4.50000,0.50000,0.12644,1.22887
99.50000,4.50000,0.50000,0.13326,1.31933
0.50000,5.50000,0.50000,1.38958,1.98045
1.50000,5.50000,0.50000,0.98321,1.63061
2.50000,5.50000,0.50000,1.01552,1.71545
3.50000,5.50000,0.50000,0.94811,1.42123
4.50000,5.50000,0.50000,0.89310,1.44864
5.50000,5.50000,0.50000,1.05299,1.35211
6.50000,5.50000,0.50000,0.87415,1.23565
7.50000,5.50000,0.50000,1.10233,1.39481
8.50000,5.50000,0.50000,1.12105,1.07327
9.50000,5.50000,0.50000,0.99736,0.96225
10.50000,5.50000,0.50000,0.88090,0.89136
11.50000,5.50000,0.50000,0.74627,0.63699
12.50000,5.50000,0.50000,0.80269,0.54243
13.50000,5.50000,0.50000,0.50417,0.30760
14.50000,5.50000,0.50000,0.12898,0.24758
15.50000,5.50000,0.50000,-0.00717,0.51855
16.50000,5.50000,0.50000,-0.34307,0.04116
17.50000,5.50000,0.50000,-0.48369,0.01494
18.50000,5.50000,0.50000,-0.30990,0.05880
19.50000,5.50000,0.50000,-0.28333,0.06620
20.50000,5.50000,0.50000,-0.72123,-0.38473
21.50000,5.50000,0.50000,-0.52955,-0.27052
22.50000,5.50000,0.50000,-0.54134,0.01132
23.50000,5.50000,0.50000,0.02016,0.48855
24.50000,5.50000,0.50000,-0.04122,0.49803
25.50000,5.50000,0.50000,0.26614,0.40875
26.50000,5.50000,0.50000,0.49178,0.48649
27.50000,5.50000,0.50000,0.25629,0.32377
28.50000,5.50000,0.50000,0.19845,0.46646
29.50000,5.50000,0.50000,0.31857,0.53758
30.50000,5.50000,0.50000,0.21412,0.58308
31.50000,5.50000,0.50000,-0.48566,0.18447
32.50000,5.50000,0.50000,-0.25723,0.59940
33.50000,5.50000,0.50000,-0.07985,0.72340
34.50000,5.50000,0.50000,-0.32264,0.73233
35.50000,5.50000,0.50000,-0.43426,0.68159
36.50000,5.50000,0.50000,-0.80483,0.26666
37.50000,5.50000,0.50000,-1.03695,0.19774
38.50000,5.50000,0.50000,-0.29752,0.24224
39.50000,5.50000,0.50000,-0.19623,0.52116
40.50000,5.50000,0.50000,-0.37162,0.84513
41.50000,5.50000,0.50000,-0.96303,0.57627
42.50000,5.50000,0.50000,-1.06281,0.52149
43.50000,5.50000,0.50000,-1.67153,0.24460
44.50000,5.50000,0.50000,-1.86887,0.15301
